qid,aid1,pid1,act1,aid2,pid2,act2,sim,rel,ma,pac
115_12,2204,453,have a fetal echocardiogram done by a cardiologist,2852,583,go for bloodwork for one's doctor appointment,1.0,2.5,2.25,0.25
115_13,4627,938,play ps4 - fifa 15,3245,662,play an online game,2.25,2.5,2.75,0.75
115_14,4519,917,cat sit for a friend,4892,991,pick apples off of trees,0.0,0.0,0.5,0.25
115_15,3892,791,go to the bar with a friend,86,18,sell a used bicycle,0.0,0.25,0.0,-0.25
115_16,2526,518,do clothing returns/exchanges,1348,280,try a new hairstyle,0.0,0.5,0.25,-0.0
115_17,796,164,call one's parents,1257,261,visit a llama farm with one's family,1.5,2.0,2.0,0.75
115_18,2920,597,eat dinner at a restaurant,1805,374,serve food,1.25,2.0,1.75,-0.0
115_19,3816,776,work on blog,4604,934,work with one's daughter on learning the alphabet,0.5,0.75,0.75,-0.25
115_20,2192,451,play mario,1221,254,play a board game with family,1.75,2.25,2.25,-0.0
115_21,4560,925,take a bath,3080,629,take care of one's ill significant other,0.25,0.25,0.0,-0.0
115_22,2984,609,enjoy the view off the southern coast of brooklyn ny sheepshead bay,4111,835,save a life,0.0,0.25,0.25,-0.5
115_23,4172,847,move furniture around one's house,1525,317,sell one's parents' house,0.25,0.75,0.25,-0.0
115_24,2570,527,make dinner for one's mother and oneself,3371,687,visit one's parents,1.0,2.0,2.0,0.5
115_25,1108,231,go to lunch with a couple of friends,156,32,make some new friends in different fb forums,0.75,1.25,1.25,0.25
116_1,3841,781,write a blog,1827,378,watch gameplay commentary on youtube,0.28571,0.42857,0.57143,-0.28571
116_2,536,110,watch a movie on one's computer,2919,596,coach student actors at one's old high school,0.0,0.42857,0.28571,-0.28571
116_3,99,21,shop for a new washing machine,3309,675,pay one's rent,0.71429,0.57143,0.57143,-0.42857
116_4,1730,359,eat a burrito bowl in chipotle,2010,415,eat tacos,3.28571,3.28571,3.85714,0.85714
116_5,817,168,have a dinner and movie night with oneself,1122,234,watch all of the lord of the rings movies,2.42857,2.57143,2.85714,0.85714
116_6,414,86,make a new eliquid,4453,903,cook a meal from from scratch that was a new recipe one was trying for the first time,1.28571,1.71429,1.85714,-0.0
116_7,4291,871,apply for a job,0,0,apply for a new apartment,1.85714,2.14286,2.0,0.42857
116_8,4460,905,sketch ideas for sculptures,3141,641,paint a watercolor,2.0,2.42857,3.14286,0.28571
116_9,928,192,attend seminars,4382,889,listen to lectures online,3.42857,3.71429,4.0,0.42857
116_10,2002,413,read the news,1367,284,read a magazine,2.14286,2.57143,2.85714,-0.0
116_11,3074,627,travel internationally,4372,887,study spanish,0.85714,1.57143,1.14286,1.0
116_12,4792,971,eat out at a restaurant with partner,875,181,go out for drinks with friends,2.57143,2.85714,2.85714,0.57143
116_13,359,72,sleep away from home,4042,821,stay in a hotel,3.14286,3.42857,3.57143,1.28571
116_14,1380,287,go to an arcade,4815,976,play video games,3.28571,3.28571,3.42857,0.71429
116_15,1823,377,drink too much beer,2407,494,get drunk and video chat with a friend living abroad,1.71429,2.42857,1.85714,0.71429
116_16,1591,331,take naps,1500,312,go to beach to relax,1.57143,2.0,2.28571,0.14286
116_17,1585,330,watch streaming movies on one's computer,4518,916,go to the drive-in movie theater,1.85714,2.28571,2.57143,-0.0
116_18,3854,784,make a photography appointment,2620,537,make low carb meals for one's spouse's atkins diet,0.28571,0.0,0.0,-0.0
116_19,1571,327,have brunch,3477,708,have breakfast with a friend,2.85714,2.85714,3.14286,0.42857
116_20,3570,727,search for colleges,616,127,job search and write emails to potential employers,1.85714,2.0,2.0,-0.57143
116_21,2061,425,play games on one's phone,3439,701,exercise at the gym,0.14286,0.14286,0.28571,-1.28571
116_22,1048,218,clean leaves and debris out of one's gutters,3717,756,plant hostas in back yard,1.85714,2.14286,2.28571,0.85714
116_23,2173,447,volunteer at community festival,1381,287,spend money on oneself,0.28571,0.28571,0.28571,-0.28571
116_24,4583,929,attend church,4915,996,pray to the lord,3.57143,3.71429,4.0,1.0
116_25,4398,892,work the night shift,4726,958,clean,0.42857,0.42857,0.85714,-0.14286
201_1,1606,334,donate blankets,3092,631,volunteer at the food bank,1.6,2.7,3.2,1.0
201_2,3851,783,go shopping,4810,975,go to work on one's road bike,0.1,0.3,0.2,-0.5
201_3,2023,417,text with an old friend,3337,680,text with friends,3.2,3.5,3.7,1.5
201_4,4052,823,spend time with one's friends,1249,260,continue online education,0.0,0.1,0.1,-0.9
201_5,2006,414,wash the dogs,4460,905,sketch ideas for sculptures,0.2,0.0,0.1,-0.5
201_6,4662,945,clean the shower,3340,681,travel by train,0.0,0.0,0.0,-0.4
201_7,2774,567,go shopping at target,3422,697,go shopping at a new mall,2.6,2.8,3.4,0.9
201_8,4702,953,go to target to buy sour cream,2774,567,go shopping at target,3.2,3.4,3.4,1.1
201_9,1966,406,take a long relaxing shower,2988,610,take care of one's son,0.0,0.1,0.3,-0.6
201_10,3009,614,create a book cover for a kindle book one is working on,892,184,write a story,1.5,1.8,2.2,0.8
201_11,2599,532,go to work on one's day off,1088,227,send an email,0.3,0.7,0.6,-0.0
201_12,1805,374,serve food,432,89,eat thai food,0.8,1.4,1.0,0.2
201_13,2866,586,attend class,1965,406,drive one's daughter to her first day of school,0.1,0.6,0.4,-0.3
201_14,586,121,go in the pool,4158,844,go swimming in an inground pool,3.7,3.8,3.8,1.6
201_15,1812,375,take public transportation,4853,983,drive to work,1.0,1.5,2.3,-1.3
201_16,3741,761,learn how to do a new report at work,605,125,write reports,2.4,2.9,2.8,1.4
201_17,4158,844,go swimming in an inground pool,1720,357,clean swimming pool,0.7,1.2,0.8,0.4
201_18,2454,503,order groceries to be delivered,606,125,go out for drinks,0.0,0.1,0.3,-0.7
201_19,4709,955,walk the dog in the park,1337,278,walk to starbucks to get coffee,1.1,1.2,1.0,0.5
201_20,4184,850,work out at the gym,2972,607,smoke,0.0,0.0,0.0,-1.3
201_21,2444,501,attend the ny renaissance faire,4534,920,take a shower,0.0,0.2,0.4,-0.0
201_22,4225,858,go to dinner with one's mom,957,198,visit one's mother and father,2.5,2.8,2.9,1.4
201_23,3792,771,take the trash out,4035,820,visit friends out of town,0.0,0.2,0.1,-0.1
201_24,38,7,spend time with one's spouse,953,198,go to a one's husband's family reunion,2.1,2.6,2.7,1.6
201_25,2384,489,eat out in a restaurant,4622,937,cook beans from scratch,0.2,0.6,0.5,-1.3
202_1,3133,639,practice scales on guitar,1397,290,practice one's writing skills by so taking a free online course,0.55556,0.66667,1.66667,-0.22222
202_2,4792,971,eat out at a restaurant with partner,3084,629,cook dinner most nights,0.55556,0.77778,1.55556,-1.55556
202_3,1373,285,go shopping online,639,132,buy one's a dad a fishing pole,1.22222,1.0,1.66667,-0.0
202_4,2061,425,play games on one's phone,2775,568,go to a bass pro elite competition,0.0,0.0,0.22222,-0.77778
202_5,1049,218,go to the grocery store and pick up medicine for a relative,4910,995,go grocery shopping,2.44444,2.55556,2.55556,1.0
202_6,4873,987,have an appointment with a dermatologist,2101,433,wash one's face,0.66667,0.77778,1.66667,1.0
202_7,1310,273,play tennis with one's daughter,904,187,play with legos,1.22222,0.88889,1.55556,-0.33333
202_8,973,202,go to the warriors game 6 finals viewing party in oracle,1020,212,edit articles for dog club newsletter,0.0,0.0,0.0,-0.66667
202_9,4066,826,bake cookies for one's family,936,193,work six 8-hour days at a conference,0.11111,0.0,0.22222,-0.77778
202_10,4002,813,attempt to remove the starter from a 93 toyota 4runner,1444,301,remove diapers,0.22222,0.22222,0.44444,-0.33333
202_11,3668,746,make dinner for oneself and significant other,4917,996,eat dinner with the family,2.55556,2.55556,3.55556,1.44444
202_12,624,129,book a cruise,4056,824,plan for a vacation,2.22222,2.66667,3.0,1.0
202_13,1796,372,attend a staff meeting,49,9,work on a computer at one's job,0.77778,1.0,1.66667,-0.44444
202_14,4065,826,do yard work,1163,242,weed one's vegetable garden,3.11111,3.0,3.44444,1.66667
202_15,4096,832,meet with business suppliers,929,192,attend meetings,2.88889,2.88889,3.22222,0.88889
202_16,2660,545,attend a recital at one's son's school,598,123,spend time with kids,2.33333,2.66667,3.0,1.33333
202_17,1908,394,go to the grocery store to get milk,562,116,go grocery shopping at one's local supermarket,3.33333,3.11111,3.44444,1.66667
202_18,246,50,have dinner with friends,3336,680,eat dinner by oneself,1.44444,1.33333,2.44444,-1.44444
202_19,3754,764,work on the house,142,29,clean garage,3.0,2.66667,2.77778,1.44444
202_20,2235,460,cook a large spaghetti and meatball dinner for one's family,3976,808,make spaghetti sauce,2.77778,3.0,3.11111,1.55556
202_21,1355,282,eat breakfast at 7 a.m. every day of the week,3623,737,eat lunch,1.33333,1.55556,2.55556,-0.0
202_22,2226,458,take an exam,1877,388,study for exams,2.11111,2.33333,3.0,1.77778
202_23,4526,918,read a lot of books,3533,719,read some interesting fiction,3.22222,3.11111,3.66667,1.44444
202_24,639,132,buy one's a dad a fishing pole,3006,614,go fishing at a local lake and catch bass,1.11111,1.22222,1.55556,0.22222
202_25,3572,727,eat at a restuarant with family,4842,981,go to get lunch and froyo with a friend on the weekend,1.55556,1.66667,2.55556,-0.66667
203_1,2920,597,eat dinner at a restaurant,2274,467,eat cereal for breakfast,1.85714,1.85714,2.42857,-0.57143
203_2,985,204,stay home from an event due to illness,1963,405,get sick and go to the doctor,1.57143,2.14286,2.28571,0.14286
203_3,3884,790,have a date night with spouse,3159,644,go to an outdoor movie,2.0,2.28571,2.0,0.71429
203_4,3265,666,take a trip to the river,2351,483,travel to philadelphia for a meeting,1.0,1.14286,0.57143,-0.14286
203_5,4645,942,become sick with a cold,3108,634,make a doctors appointment,1.71429,2.57143,2.14286,1.42857
203_6,1599,332,move to a new home,2047,422,paint a room,1.0,1.85714,1.57143,0.85714
203_7,0,0,apply for a new apartment,574,118,pack boxes for an upcoming move,1.14286,2.14286,2.57143,1.0
203_8,669,138,volunteer at church,123,25,smoke marijuana cigarettes,0.0,0.0,0.0,-0.85714
203_9,1212,252,play disc golf,4075,828,sell insurance,0.0,0.0,0.28571,-0.57143
203_10,2648,542,procrastinate on homework and then do it,4499,913,study mandarin chinese,0.57143,1.0,0.85714,-0.85714
203_11,4867,986,go for a jog,2323,477,start a fitbit challenge with sisters,0.85714,1.42857,1.42857,0.57143
203_12,3690,751,go to sam's club,562,116,go grocery shopping at one's local supermarket,1.71429,1.71429,1.85714,-0.42857
203_13,739,153,throw a ball,366,74,play catch with one's dogs,2.57143,2.71429,3.0,1.42857
203_14,2899,592,finish an application for a grant,3506,714,apply for jobs,2.28571,1.85714,2.0,0.57143
203_15,1538,320,have dinner with one's co-workers,2045,422,bike commute to work,0.0,0.14286,0.57143,-0.14286
203_16,4500,913,go to a job-related conference,2351,483,travel to philadelphia for a meeting,2.71429,2.85714,3.14286,1.42857
203_17,1843,381,clean up amazon wishlists,2625,538,organize closet,1.0,1.28571,1.0,0.28571
203_18,4012,815,work at the gun shop everyday,49,9,work on a computer at one's job,1.0,1.28571,1.71429,-0.71429
203_19,796,164,call one's parents,4097,832,visit family and bond with them,2.71429,3.42857,3.57143,1.14286
203_20,3503,713,attend a wedding,1222,254,swim 1 mile in a pool,0.0,0.0,0.0,-0.28571
203_21,2666,546,pay the phone bill,4656,944,hike a mountain,0.0,0.0,0.57143,-0.42857
203_22,2852,583,go for bloodwork for one's doctor appointment,4647,942,visit to a gastrointestinal specialist,2.14286,2.28571,3.0,0.57143
203_23,1682,349,take walks around one's neighborhood,3997,812,drive the car to the park and walk around for a while,1.85714,1.71429,2.28571,-0.28571
203_24,2102,433,play candy crush,4345,882,talk on the phone to a friend,0.28571,0.42857,0.71429,-0.71429
203_25,3186,650,watch the movie,902,186,watch frasier on tv,2.0,2.0,2.57143,-0.14286
204_1,4475,908,pay some bills,3351,683,buy a piece of furniture,0.75,0.875,1.125,0.625
204_2,4797,972,go fishing,2415,496,hunt,1.875,2.75,3.25,0.5
204_3,1628,338,go for a jog with one's boyfriend,3601,733,read the bible,0.0,0.0,0.0,-0.375
204_4,803,166,go sight seeing,922,191,tour washington dc,3.375,3.5,3.625,1.25
204_5,4609,935,eat,1254,261,cook a pasta dish with beans,1.25,2.0,2.25,0.875
204_6,4117,836,visit one's home,3521,717,visit a bookstore,0.375,0.625,0.125,-0.25
204_7,1684,349,read library books,428,89,attend a musical performance,0.25,0.625,1.125,-0.5
204_8,330,67,dance with one's 3 yr old nephew to the radio,3954,804,hike a mountain trail with one's family,0.625,0.75,1.375,-0.125
204_9,773,160,go to a restaurant,1274,265,go to a reggae concert,0.5,0.375,0.375,-0.5
204_10,3518,716,homeschool one's child,2474,507,drive one's children to school,1.625,2.625,2.375,-1.375
204_11,4771,967,sleep in a lot,1591,331,take naps,2.75,3.125,3.125,0.25
204_12,452,93,help someone while they were ill,158,32,volunteer at a non-profit company,1.25,1.75,2.875,0.875
204_13,4604,934,work with one's daughter on learning the alphabet,4605,934,try and teach one's twins to crawl,1.625,2.5,2.375,0.5
204_14,597,123,rest,1303,271,go swimming at the pool,0.125,0.25,0.125,-1.0
204_15,3,0,talk with moms about babysitting jobs,364,73,apply for part-time teaching jobs,1.625,2.125,2.25,-0.625
204_16,2206,454,play with the cat,2862,585,change the cat litter,1.375,2.25,1.625,1.0
204_17,289,58,read a book called the taker by alma katsu,3413,695,read one's bible each morning,2.375,2.0,1.5,0.125
204_18,798,165,vacuum the house,1668,346,tidy the apartment,2.625,3.125,3.125,1.0
204_19,1842,381,work on one's blog,836,173,post a status on facebook,2.25,2.0,2.25,0.25
204_20,1960,405,go to a school lunch for one's son,2833,579,volunteer at the local animal shelter,0.125,0.25,0.25,-0.125
204_21,1867,386,go to doctor,2991,611,ride one's bike,0.125,0.375,0.25,-0.25
204_22,4584,930,read an article about an american dentist who hunted a lion in zimbabwe,3307,674,read the sunday newspaper,2.5,2.875,3.0,0.5
204_23,1024,213,eat a lot of food,1793,371,eat cereal,2.75,2.625,2.125,0.625
204_24,2447,502,draw pictures for one's daughter,4811,975,help one's oldest son with his math homework,1.5,2.125,2.125,0.75
204_25,2217,456,go to a far away place for religious reasons,4394,892,make guacamole,0.0,0.0,0.0,-0.625
205_1,3507,714,go drinking,3892,791,go to the bar with a friend,3.375,3.5,3.5,1.25
205_2,4624,938,watch netflix (switched at birth),2351,483,travel to philadelphia for a meeting,0.25,0.25,0.25,-0.5
205_3,4474,908,participate in installing a metal roof over a patio,4110,835,build a table for one's living room,1.5,1.75,2.5,0.75
205_4,4484,910,eat lunch in a restaurant,432,89,eat thai food,2.75,3.125,3.5,1.0
205_5,1575,328,make a cherry pie,4459,905,bake a birthday cake,2.75,2.875,3.0,0.75
205_6,745,154,use one's computer to work on an adobe illustrator project,3313,675,buy a new laptop computer,0.875,1.25,1.125,0.375
205_7,3092,631,volunteer at the food bank,1606,334,donate blankets,2.25,2.125,3.5,1.0
205_8,2781,569,watch tv shows with a friend,2178,448,watch a movie with family,2.625,2.75,3.0,0.625
205_9,4563,925,do grocery shopping,1338,278,order pizza for delivery,1.0,1.25,2.5,-0.875
205_10,635,131,go out to eat at beef o brady's to eat spicy chicken wings,992,205,write a paper for a class,0.0,0.0,0.0,-0.375
205_11,813,168,take the kids out for chicken dinner,4413,895,drive kids around,2.0,2.25,2.375,1.0
205_12,4621,937,walk to work instead of using public transportation,743,154,walk a mile to one's class,2.875,2.75,3.625,1.375
205_13,2650,543,check the status of one's disability claim through the ssa website,4679,949,complete an online homework assignment,0.75,0.375,0.5,-0.125
205_14,3813,775,go squirrel hunting,176,36,walk outside,0.75,1.0,0.875,0.5
205_15,3411,695,do some stuff to get ready for cooler weather,2767,566,comb one's hair,0.0,0.0,0.0,-0.25
205_16,634,131,paint one's house white with a trim color of blue,3107,634,decorate the house,2.5,3.0,3.875,1.125
205_17,4868,986,watch tv,4536,920,relax at home,2.875,3.375,3.375,1.25
205_18,1878,388,work out with friend,94,20,go swimming in the neighborhood pool,1.75,1.625,2.0,0.375
205_19,1423,295,visit one's brother,3915,796,visit one's sister at her house,3.75,3.625,4.0,1.375
205_20,1163,242,weed one's vegetable garden,4485,910,water the plants in the garden,2.875,3.375,3.5,1.75
205_21,317,64,have an interview for a new job,2207,454,talk to friend about her wedding,0.125,0.25,0.125,-0.375
205_22,4737,960,collect market research,2028,418,post for one's business on facebook,1.25,1.75,2.5,1.0
205_23,4340,881,make dinners,4187,850,cook several meals,3.875,3.75,3.875,1.75
205_24,3292,671,look online for a pet dog,4398,892,work the night shift,0.125,0.0,0.125,-0.375
205_25,1711,355,search for a job,3125,638,work at a winery,1.0,1.5,1.625,-1.0
206_1,1236,257,do thesis research,4503,913,do breathing-focused meditation,0.0,0.0,0.1,-0.0
206_2,31,6,do one's own personal laundry,1580,329,take one's spouse's clothes to the cleaner,2.4,3.0,2.8,-0.6
206_3,50,10,watch firefly episodes with one's spouse and kids,3572,727,eat at a restuarant with family,1.0,1.2,2.7,0.6
206_4,1400,291,share some photos online,1224,255,surf the internet for new places to travel,0.9,1.1,0.8,0.4
206_5,1702,353,talk on the phone to one's son that lives out of state,2272,467,talk to a friend by texting,1.9,1.7,2.9,0.2
206_6,2719,556,take an out of state trip to visit elderly family,360,73,drive to a city in the next state over,2.5,2.3,2.0,1.4
206_7,783,162,take photographs of wild birds,1571,327,have brunch,0.2,0.0,0.0,0.2
206_8,3640,741,change diapers,3508,714,feed a baby,0.8,2.1,2.4,1.1
206_9,3753,763,go roller skating,3724,758,lift weights in the gym,0.7,0.9,1.3,-0.3
206_10,4580,929,edit one's novel,3008,614,write a scene for a sci-fi book one is working on,2.9,3.1,2.9,1.2
206_11,3478,708,play with the kids,4455,904,spend time with one's children,3.2,3.5,4.0,1.6
206_12,879,182,eat with coworkers,288,58,start a new job at a local subway restaurant in one's hometown,0.3,0.5,0.5,-0.3
206_13,3713,755,email a client,2245,462,email designs to a developer,2.9,3.2,2.6,1.0
206_14,3693,751,go out to eat with one's family in different town,2589,530,eat lunch with parents,3.3,3.0,3.9,1.2
206_15,3975,808,go to a family barbecue,3820,777,grill meat on a charcoal grill,2.0,2.6,2.6,0.7
206_16,299,60,watch anime,1966,406,take a long relaxing shower,0.0,0.0,1.4,-0.4
206_17,4623,937,go to search for an art studio,970,201,look at dresses to buy,0.4,0.3,0.5,0.2
206_18,1998,412,go out to dinner with one's son,2917,596,meet with a friend in the library to do homework together,0.1,0.3,0.4,-0.3
206_19,4007,814,go to class,4318,876,study for an upcoming exam in biology,2.2,2.7,3.4,1.2
206_20,1603,333,chat on the phone with a relative,368,74,visit with one's mother-in-law,1.5,2.0,3.0,0.8
206_21,4413,895,drive kids around,164,34,visit with one's significant other before work,0.8,0.7,0.7,0.2
206_22,3715,756,paint bedroom wall,2479,508,go to look at a home for sale,0.1,0.6,0.6,-0.0
206_23,3397,692,read a few books (non-fiction,4805,974,watch documentaries,1.0,1.1,2.7,0.2
206_24,4691,951,make dinner for one's family,1546,322,wash dishes after dinner,0.7,2.7,2.1,1.2
206_25,3349,683,teach high school students a class,2739,560,teach yoga,2.3,2.2,3.0,0.2
207_1,3496,712,watch football,2858,584,go to a chicago cubs game,1.875,2.25,2.875,1.125
207_2,4755,964,pet a rabbit,867,179,take care of one's rabbits,3.0,3.375,3.5,1.75
207_3,3445,702,go out to lunch with one's family,4729,959,go out for ice cream,2.125,2.5,2.625,1.125
207_4,580,120,go horseback riding,3954,804,hike a mountain trail with one's family,0.625,0.875,1.125,0.375
207_5,4651,943,watch football all day this past sunday,2375,488,manage fantasy football team,2.0,2.25,2.5,1.125
207_6,91,19,buy a smoothie machine to make smoothies,3235,660,eat 2 bags of chips,0.25,0.625,0.25,-0.25
207_7,591,122,wash one's cars,3274,667,repair motorcycle,1.25,1.5,1.375,-0.125
207_8,4760,965,take care of one's dogs,1996,412,groom one's dog,3.25,3.25,3.5,1.5
207_9,818,169,drink a beer in the kitchen,1210,252,drink a 12 pack of beer,2.75,2.5,2.875,0.75
207_10,4424,898,blog about feminism,1614,335,write a short story,1.0,1.125,1.625,0.375
207_11,4882,989,play soccer,2862,585,change the cat litter,0.0,0.0,0.25,-0.25
207_12,4496,912,do weekend chores,4408,894,do yoga,0.125,0.125,0.25,-0.125
207_13,4507,914,call a friend in another country,2407,494,get drunk and video chat with a friend living abroad,1.625,2.0,2.0,1.0
207_14,4328,878,write one's thesis,532,110,write the conclusion to one's thesis,3.0,3.375,3.875,1.5
207_15,2627,538,wash the car,4445,902,go on a roadtrip,0.125,0.75,1.25,-0.0
207_16,3757,764,fix the toilet,1346,280,cook a big father's day dinner,0.0,0.375,0.375,-0.0
207_17,3151,643,have a playdate,1631,339,babysit a neighbor's infant,1.375,1.25,1.0,0.25
207_18,2047,422,paint a room,592,122,fix a leaky faucet,0.125,0.625,1.875,0.375
207_19,2582,529,call one's eldest son that lives out of town to catch up and communicate with him,3058,624,call a sewing machine repair service,0.125,0.25,0.25,-0.0
207_20,1181,246,fast for one day,3182,649,eat fast food,0.125,0.75,0.375,-1.125
207_21,4287,870,send emails,4754,964,write emails to business partner,2.875,3.0,3.625,1.125
207_22,3417,696,do free weights,1218,254,lift weights at the gym,3.0,2.875,3.25,1.25
207_23,1824,377,clean the hamster cages,3977,808,take the cat to the vet,0.625,1.0,1.875,0.375
207_24,1148,239,hike with one's dog,2912,595,go with one's dog to the dog park,2.625,2.875,2.875,0.75
207_25,1846,382,take one's kids to soccer practice in the rain,4552,923,help kids with homework,1.125,1.5,2.5,0.625
208_1,4044,822,brew tea gong-fu style,3968,806,make a pot of coffee in the morning,2.33333,2.0,2.66667,-0.0
208_2,4010,815,paint the baby's room,880,182,go clubbing with friends,0.16667,0.16667,0.0,-1.0
208_3,1233,257,run a marathon,4160,845,race a motorcycle,1.5,1.0,2.16667,-0.5
208_4,2149,442,play the game minecraft,3249,662,use the computer,3.16667,3.5,3.0,1.0
208_5,261,53,design a commercial office,4287,870,send emails,0.66667,0.66667,0.5,-0.5
208_6,3233,659,make the bed,3297,672,sweep the floor,2.33333,2.66667,3.0,0.5
208_7,4093,831,work online,4593,931,go to work daily,2.5,2.33333,3.33333,-0.5
208_8,4383,889,respond to emails,3324,678,read email,3.5,3.83333,3.66667,1.33333
208_9,3971,807,watch us open tennis with one's sons,3957,804,play tennis and basketball in the park,1.66667,2.16667,2.0,0.5
208_10,4300,873,spend time with window experts getting second opinions on installation,3058,624,call a sewing machine repair service,0.5,0.33333,0.83333,-0.16667
208_11,2129,438,go to the gym and run a three miles on the treadmill,939,195,jog around the block,3.16667,3.0,3.83333,0.33333
208_12,3309,675,pay one's rent,3875,788,pay one's student loan bill,2.33333,1.83333,3.16667,0.16667
208_13,190,39,purchase one's first mini computer,2220,457,eat steak,0.0,0.0,0.0,-0.66667
208_14,3606,734,break up with a girlfriend/boyfriend,4505,914,argue with a friend,2.16667,2.16667,2.0,-0.0
208_15,4855,984,read at the library,3484,710,read a book before going to sleep,2.33333,2.66667,3.0,0.5
208_16,2947,602,do work on the computer,3604,734,type an essay,2.33333,2.66667,2.66667,0.33333
208_17,1999,412,work doing home health,3108,634,make a doctors appointment,1.16667,1.33333,1.66667,-0.33333
208_18,405,84,spend time helping one's girlfriend/boyfriend with school assignments,2473,507,assist one's children with homework,2.83333,2.66667,3.5,0.16667
208_19,4409,895,take care of pets,1703,353,volunteer at the church to help feed the homeless and needy,0.83333,0.66667,1.83333,-0.16667
208_20,922,191,tour washington dc,3141,641,paint a watercolor,0.0,0.0,0.16667,-0.66667
208_21,1500,312,go to beach to relax,2821,577,go to the grand canyon,1.0,1.0,2.0,-0.16667
208_22,1536,320,go shopping with one's son,2355,484,take one's daughters dress shopping,3.0,3.0,3.33333,0.5
208_23,3215,656,go school shopping,3422,697,go shopping at a new mall,3.0,2.66667,3.16667,0.33333
208_24,3357,684,eat dinner with one's spouse,1363,283,eat breakfast,2.33333,2.33333,3.16667,-0.33333
208_25,2267,466,clean up the living room,4653,943,vacuum the carpet in one's apartment,3.5,3.66667,3.83333,0.83333
209_1,4897,992,read the newspaper,2742,561,play lacrosse,0.0,0.0,0.22222,-0.55556
209_2,4319,877,walk a dog,1638,340,work part-time as a dog walker,2.66667,2.77778,2.22222,1.44444
209_3,716,148,make breakfast for one's daughters,4559,925,cook breakfast,3.33333,3.22222,2.88889,1.22222
209_4,3359,685,go out to eat dinner,3604,734,type an essay,0.0,0.0,0.0,-0.44444
209_5,3212,655,set one's alarm clock for 7,824,171,do morning yoga,0.44444,1.11111,1.0,0.77778
209_6,168,34,walk 10 miles for exercise,4179,849,order chinese food for dinner,0.0,0.0,0.0,-0.77778
209_7,1578,328,give 1 of one's labs a bath,2006,414,wash the dogs,2.88889,2.88889,2.88889,0.88889
209_8,1185,247,watch tv (soccer mainly),825,171,watch game of thrones,1.66667,1.55556,2.55556,0.11111
209_9,4930,999,do laundry,571,118,wash dirty clothes,3.22222,3.44444,3.22222,1.66667
209_10,1901,393,make dinner for neighborhood,1805,374,serve food,2.55556,2.66667,2.77778,1.22222
209_11,2995,612,email medical bill collectors about insurance billing,4683,949,email a professor to schedule a meeting,1.11111,1.0,1.55556,-0.0
209_12,2041,421,call one's mother-in-law,3551,723,talk on the phone with family,2.88889,3.0,3.22222,1.0
209_13,2362,485,clean the closet,4784,970,play world of warcraft,0.33333,0.33333,0.33333,-0.66667
209_14,4647,942,visit to a gastrointestinal specialist,239,48,go to the doctor for one's daughter,2.11111,2.0,2.44444,0.55556
209_15,4426,898,drink coffee,2463,505,drink water,2.11111,2.0,2.55556,-0.33333
209_16,3997,812,drive the car to the park and walk around for a while,564,116,take a walk in one's neighborhood,2.77778,2.44444,3.22222,0.55556
209_17,1050,218,take a nap after dinner and sleep for 4 hours without meaning to do so,950,197,sleep until noon,2.11111,1.88889,2.55556,0.11111
209_18,4261,865,support a friend via a telephone conversation,1298,270,plant flowers,0.0,0.0,0.0,-0.11111
209_19,2851,583,meet an ex girlfriend/boyfriend for lunch,3884,790,have a date night with spouse,1.55556,1.22222,2.11111,-0.44444
209_20,3858,784,go to the movie theater,2380,489,go to office to work,0.55556,0.33333,0.11111,-0.55556
209_21,2595,532,hang out at the beach with a few of one's closest friends,4645,942,become sick with a cold,0.0,0.11111,0.0,-0.0
209_22,4449,903,go on a job interview,4096,832,meet with business suppliers,1.33333,1.33333,1.33333,-0.11111
209_23,4805,974,watch documentaries,3448,702,go to see a movie in a theater,2.0,1.77778,2.44444,0.22222
209_24,4757,964,walk to class,1825,378,go to school,2.77778,2.88889,3.33333,0.77778
209_25,2366,486,telecommute,2305,474,listen in on a conference call discussing a very large accident one's agency is investigating,1.33333,1.44444,1.77778,0.66667
210_1,4930,999,do laundry,1823,377,drink too much beer,0.0,0.0,0.11111,-0.44444
210_2,2066,426,trim plants and weed the garden,489,101,get one's printer connected,0.11111,0.22222,0.11111,-0.22222
210_3,4836,980,play with one's cats after have been away for a week,4587,930,feed a stray cat that one found,0.88889,1.77778,2.0,0.77778
210_4,2527,518,have an emergency room visit,4,0,get sick,1.44444,2.22222,1.55556,0.44444
210_5,4003,813,accept 2 bids for building a wooden deck,3183,649,sell a furnace,0.88889,1.0,1.22222,0.22222
210_6,2101,433,wash one's face,533,110,put on makeup,1.66667,2.55556,2.66667,0.33333
210_7,4890,991,speak to one's mother,419,87,recharge one's phone,0.66667,1.44444,1.11111,0.55556
210_8,135,28,talk on the phone to one's lover,527,109,bake brownies,0.11111,0.22222,0.44444,-0.33333
210_9,4094,832,run errands,4496,912,do weekend chores,2.0,2.44444,2.88889,0.22222
210_10,4822,977,work on powerpoint for work,4199,853,give a presentation at work,2.88889,3.44444,3.44444,1.66667
210_11,368,74,visit with one's mother-in-law,845,175,make love to one's spouse,0.0,0.44444,0.66667,-0.33333
210_12,3419,697,write a romantic letter,4727,958,kiss one's spouse,1.22222,2.33333,3.33333,1.33333
